date,machine_id,shift,product_type,units_produced,defective_units,downtime_minutes,production_time_minutes,operator_id,factory_location
01-01-24,MCH001,Morning,Bolt,502,24,33,480,OP114,Nagpur
01-01-24,MCH001,Evening,Bolt,420,11,23,450,OP110,Nagpur
01-01-24,MCH001,Night,Bearing,499,12,28,500,OP102,Mumbai
01-01-24,MCH002,Morning,Nut,693,6,25,480,OP100,Mumbai
01-01-24,MCH002,Evening,Bolt,421,16,29,450,OP116,Nashik
01-01-24,MCH002,Night,Bolt,569,20,19,500,OP114,Aurangabad
01-01-24,MCH003,Morning,Bolt,454,24,7,480,OP104,Nagpur
01-01-24,MCH003,Evening,Shaft,566,22,8,450,OP113,Mumbai
01-01-24,MCH003,Night,Nut,664,6,24,500,OP114,Aurangabad
01-01-24,MCH004,Morning,Gear,663,19,39,480,OP113,Aurangabad
01-01-24,MCH004,Evening,Shaft,449,12,8,450,OP101,Aurangabad
01-01-24,MCH004,Night,Shaft,590,22,30,500,OP111,Mumbai
01-01-24,MCH005,Morning,Nut,669,20,19,480,OP107,Pune
01-01-24,MCH005,Evening,Bearing,589,12,25,450,OP115,Mumbai
01-01-24,MCH005,Night,Bearing,452,17,45,500,OP114,Pune
02-01-24,MCH001,Morning,Bolt,408,5,48,480,OP107,Nashik
02-01-24,MCH001,Evening,Gear,480,12,39,450,OP102,Nashik
02-01-24,MCH001,Night,Nut,660,14,43,500,OP108,Pune
02-01-24,MCH002,Morning,Bearing,667,6,37,480,OP115,Nashik
02-01-24,MCH002,Evening,Gear,571,12,26,450,OP102,Nashik
02-01-24,MCH002,Night,Gear,500,19,18,500,OP102,Nagpur
02-01-24,MCH003,Morning,Shaft,617,18,43,480,OP108,Mumbai
02-01-24,MCH003,Evening,Bearing,578,11,53,450,OP119,Aurangabad
02-01-24,MCH003,Night,Bearing,621,9,27,500,OP106,Nashik
02-01-24,MCH004,Morning,Bolt,428,8,17,480,OP106,Nashik
02-01-24,MCH004,Evening,Gear,485,6,46,450,OP112,Nagpur
02-01-24,MCH004,Night,Bolt,533,16,48,500,OP119,Mumbai
02-01-24,MCH005,Morning,Bearing,630,5,5,480,OP119,Pune
02-01-24,MCH005,Evening,Bolt,658,11,10,450,OP107,Pune
02-01-24,MCH005,Night,Nut,564,5,55,500,OP109,Nashik
03-01-24,MCH001,Morning,Gear,559,13,56,480,OP116,Mumbai
03-01-24,MCH001,Evening,Bolt,451,16,43,450,OP101,Pune
03-01-24,MCH001,Night,Shaft,500,21,21,500,OP116,Mumbai
03-01-24,MCH002,Morning,Gear,619,9,36,480,OP100,Nashik
03-01-24,MCH002,Evening,Shaft,525,6,57,450,OP111,Aurangabad
03-01-24,MCH002,Night,Nut,602,21,42,500,OP104,Mumbai
03-01-24,MCH003,Morning,Gear,597,15,52,480,OP115,Pune
03-01-24,MCH003,Evening,Nut,523,10,20,450,OP102,Aurangabad
03-01-24,MCH003,Night,Nut,546,24,36,500,OP106,Pune
03-01-24,MCH004,Morning,Gear,527,11,22,480,OP107,Nashik
03-01-24,MCH004,Evening,Nut,550,14,39,450,OP106,Mumbai
03-01-24,MCH004,Night,Gear,511,24,53,500,OP101,Aurangabad
03-01-24,MCH005,Morning,Bolt,436,13,45,480,OP102,Nashik
03-01-24,MCH005,Evening,Bolt,551,5,28,450,OP119,Pune
03-01-24,MCH005,Night,Gear,503,24,39,500,OP115,Nashik
04-01-24,MCH001,Morning,Shaft,552,22,50,480,OP117,Nashik
04-01-24,MCH001,Evening,Nut,607,13,40,450,OP100,Pune
04-01-24,MCH001,Night,Bolt,676,20,24,500,OP107,Pune
04-01-24,MCH002,Morning,Bolt,527,5,52,480,OP111,Nashik
04-01-24,MCH002,Evening,Bearing,421,18,34,450,OP105,Nashik
04-01-24,MCH002,Night,Nut,663,6,25,500,OP100,Pune
04-01-24,MCH003,Morning,Gear,546,8,39,480,OP116,Aurangabad
04-01-24,MCH003,Evening,Bolt,619,18,57,450,OP105,Aurangabad
04-01-24,MCH003,Night,Bearing,632,9,28,500,OP116,Nashik
04-01-24,MCH004,Morning,Bolt,587,5,56,480,OP100,Mumbai
04-01-24,MCH004,Evening,Shaft,680,14,35,450,OP102,Mumbai
04-01-24,MCH004,Night,Gear,526,14,6,500,OP116,Pune
04-01-24,MCH005,Morning,Shaft,698,20,43,480,OP109,Nashik
04-01-24,MCH005,Evening,Nut,412,11,40,450,OP112,Pune
04-01-24,MCH005,Night,Nut,663,18,20,500,OP113,Nashik
05-01-24,MCH001,Morning,Gear,542,6,6,480,OP118,Mumbai
05-01-24,MCH001,Evening,Bolt,462,21,56,450,OP109,Aurangabad
05-01-24,MCH001,Night,Nut,500,5,12,500,OP111,Nagpur
05-01-24,MCH002,Morning,Nut,502,8,10,480,OP112,Nashik
05-01-24,MCH002,Evening,Bolt,543,17,54,450,OP109,Pune
05-01-24,MCH002,Night,Shaft,519,23,32,500,OP104,Nagpur
05-01-24,MCH003,Morning,Shaft,678,13,16,480,OP100,Mumbai
05-01-24,MCH003,Evening,Gear,400,19,38,450,OP115,Nagpur
05-01-24,MCH003,Night,Nut,671,11,9,500,OP102,Mumbai
05-01-24,MCH004,Morning,Nut,543,23,41,480,OP113,Nagpur
05-01-24,MCH004,Evening,Nut,446,21,34,450,OP113,Nagpur
05-01-24,MCH004,Night,Bearing,603,20,30,500,OP115,Aurangabad
